symbol,ex_date,type,value
AA,2016-10-06,split,0.3333333333333333
AA,2016-11-01,split,1.2484394506866416
AA,2016-11-02,dividend,0.09
AA,2021-10-28,dividend,0.1
AA,2022-03-07,dividend,0.1
AA,2022-05-16,dividend,0.1
AA,2022-08-08,dividend,0.1
AA,2022-10-31,dividend,0.1
AA,2023-03-06,dividend,0.1
AA,2023-05-15,dividend,0.1
AA,2023-08-07,dividend,0.1
AA,2023-10-30,dividend,0.1
AA,2024-03-04,dividend,0.1
AA,2024-05-20,dividend,0.1
AA,2024-08-12,dividend,0.1
AA,2024-10-29,dividend,0.1
AA,2025-03-04,dividend,0.1
AA,2025-05-20,dividend,0.1
AA,2025-08-12,dividend,0.1
AA,2025-11-04,dividend,0.1
AA,2026-03-10,dividend,0.1
AA,2026-05-19,dividend,0.1
AA,2026-08-11,dividend,0.1
AAL,2016-11-03,dividend,0.1
AAL,2017-02-09,dividend,0.1
AAL,2017-05-12,dividend,0.1
AAL,2017-08-10,dividend,0.1
AAL,2017-11-10,dividend,0.1
AAL,2018-02-05,dividend,0.1
AAL,2018-05-07,dividend,0.1
AAL,2018-08-06,dividend,0.1
AAL,2018-11-05,dividend,0.1
AAL,2019-02-05,dividend,0.1
AAL,2019-05-07,dividend,0.1
AAL,2019-08-06,dividend,0.1
AAL,2019-11-05,dividend,0.1
AAL,2020-02-04,dividend,0.1
AAPL,2016-11-03,dividend,0.1425
AAPL,2017-02-09,dividend,0.1425
AAPL,2017-05-11,dividend,0.1575
AAPL,2017-08-10,dividend,0.1575
AAPL,2017-11-10,dividend,0.1575
AAPL,2018-02-09,dividend,0.1575
AAPL,2018-05-11,dividend,0.1825
AAPL,2018-08-10,dividend,0.1825
AAPL,2018-11-08,dividend,0.1825
AAPL,2019-02-08,dividend,0.1825
AAPL,2019-05-10,dividend,0.1925
AAPL,2019-08-09,dividend,0.1925
AAPL,2019-11-07,dividend,0.1925
AAPL,2020-02-07,dividend,0.1925
AAPL,2020-05-08,dividend,0.205
AAPL,2020-08-07,dividend,0.205
AAPL,2020-08-31,split,4.0
AAPL,2020-11-06,dividend,0.205
AAPL,2021-02-05,dividend,0.205
AAPL,2021-05-07,dividend,0.22
AAPL,2021-08-06,dividend,0.22
AAPL,2021-11-05,dividend,0.22
AAPL,2022-02-04,dividend,0.22
AAPL,2022-05-06,dividend,0.23
AAPL,2022-08-05,dividend,0.23
AAPL,2022-11-04,dividend,0.23
AAPL,2023-02-10,dividend,0.23
AAPL,2023-05-12,dividend,0.24
AAPL,2023-08-11,dividend,0.24
AAPL,2023-11-10,dividend,0.24
AAPL,2024-02-09,dividend,0.24
AAPL,2024-05-10,dividend,0.25
AAPL,2024-08-12,dividend,0.25
AAPL,2024-11-08,dividend,0.25
AAPL,2025-02-10,dividend,0.25
AAPL,2025-05-12,dividend,0.26
AAPL,2025-08-11,dividend,0.26
AAPL,2025-11-10,dividend,0.26
AAPL,2026-02-09,dividend,0.26
AAPL,2026-05-11,dividend,0.27
AAPL,2026-08-10,dividend,0.27
ABAT,2023-09-11,split,0.06666666666666667
ABBV,2016-10-12,dividend,0.57
ABBV,2017-01-11,dividend,0.64
ABBV,2017-04-11,dividend,0.64
ABBV,2017-07-12,dividend,0.64
ABBV,2017-10-12,dividend,0.64
ABBV,2018-01-11,dividend,0.71
ABBV,2018-04-12,dividend,0.96
ABBV,2018-07-12,dividend,0.96
ABBV,2018-10-12,dividend,0.96
ABBV,2019-01-14,dividend,1.07
ABBV,2019-04-12,dividend,1.07
ABBV,2019-07-12,dividend,1.07
ABBV,2019-10-11,dividend,1.07
