accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20200313|A|Agilent Technologies Inc.|A|NYSE|5679827|5029326||3178893|1.79||12.93|650501|2020-03-13
20200313|AA|Alcoa Corporation|A|NYSE|9978455|11017278||9013323|1.11||-9.43|-1038823|2020-03-13
20200313|AAALF|Aareal Bank AG AKT|S|OTC|50950|32577||0|999.99||56.40|18373|2020-03-13
20200313|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|28176|4042||245021|1.00||597.08|24134|2020-03-13
20200313|AACAF|AAC Technologies Holdings Inc|S|OTC|15560738|10720180||147|999.99||45.15|4840558|2020-03-13
20200313|AACAY|AAC Technologies Holdings Inc|S|OTC|14325|16874||104938|1.00||-15.11|-2549|2020-03-13
20200313|AACG|ATA Creativity Global American|R|NNM|31605|38093||19383|1.63||-17.03|-6488|2020-03-13
20200313|AACH|AAC HLDGS INC Common Stock|S|OTC|561142|675007||61601|9.11||-16.87|-113865|2020-03-13
20200313|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|5225||0|999.99||-99.98|-5224|2020-03-13
20200313|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|4891|2350||2429|2.01||108.13|2541|2020-03-13
20200313|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|14111|10589||59498|1.00||33.26|3522|2020-03-13
20200313|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|22287|4148||350384|1.00||437.30|18139|2020-03-13
20200313|AAGH|America Great Health Common St|S|OTC|11282|11282||6005|1.88||0.00|0|2020-03-13
20200313|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|329176|219151||489463|1.00||50.21|110025|2020-03-13
20200313|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|451|1||25|18.04||45000.00|450|2020-03-13
20200313|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|67800|59900||0|999.99||13.19|7900|2020-03-13
20200313|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|445185|253998||7793|57.13||75.27|191187|2020-03-13
20200313|AAIIQ|Alabama Aircraft Industries, I|S|OTC|299|0||22902|1.00||100.00|299|2020-03-13
20200313|AAIRF|American Aires Inc. Common Sha|S|OTC|2245|2245||1176|1.91||0.00|0|2020-03-13
20200313|AAL|American Airlines Group Inc. C|R|NNM|66355779|45618695||41450367|1.60||45.46|20737084|2020-03-13
20200313|AALBF|Aalberts Industries NV Ordinar|S|OTC|13176|5155||10|999.99||155.60|8021|2020-03-13
20200313|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|7115|8206||298|23.88||-13.30|-1091|2020-03-13
20200313|AAMC|Altisource Asset Mgmt Corp|B|AMEX|15190|18518||2330|6.52||-17.97|-3328|2020-03-13
20200313|AAME|Atlantic American Corporation|R|NNM|2248|2503||1227|1.83||-10.19|-255|2020-03-13
20200313|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|2449|2670||45123|1.00||-8.28|-221|2020-03-13
20200313|AAN|Aaron's, Inc.|A|NYSE|4024669|3960658||1106180|3.64||1.62|64011|2020-03-13
20200313|AANNF|Aroundtown SA Ordinary Shares|S|OTC|8833094|9255101||415|999.99||-4.56|-422007|2020-03-13
20200313|AAOI|Applied Optoelectronics, Inc.|R|NNM|7984856|7419396||757597|10.54||7.62|565460|2020-03-13
20200313|AAON|AAON, Inc. Common Stock|R|NNM|4156084|4383878||400606|10.37||-5.20|-227794|2020-03-13
20200313|AAP|ADVANCE AUTO PARTS INC|A|NYSE|2216301|2266541||1272851|1.74||-2.22|-50240|2020-03-13
20200313|AAPL|Apple Inc. Common Stock|R|NNM|38427917|29008504||63426042|1.00||32.47|9419413|2020-03-13
20200313|AAPT|All American Pet Company, Inc.|S|OTC|197000|197000||13749641|1.00||0.00|0|2020-03-13
20200313|AASP|All-American SportPark, Inc. C|S|OTC|25|25||1400|1.00||0.00|0|2020-03-13
20200313|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|37823|1575||12627|3.00||2301.46|36248|2020-03-13
20200313|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|1091394|977942||390092|2.80||11.60|113452|2020-03-13
20200313|AATDF|AA LTD Ordinary Shares (United|S|OTC|1260500|1258000||1800|700.28||0.20|2500|2020-03-13
20200313|AATRL|AMG Capital  Trust II 5.15% Co|S|OTC|10058|8658||6985|1.44||16.17|1400|2020-03-13
20200313|AAU|Almaden Minerals Ltd.|B|AMEX|1428747|1326622||371922|3.84||7.70|102125|2020-03-13
20200313|AAUKF|Anglo American plc Ordinary Sh|S|OTC|5295595|5204027||4205|999.99||1.76|91568|2020-03-13
20200313|AAVMY|Abn Amro BK N V Amsterdam Brh|S|OTC|43436|551||211320|1.00||7783.12|42885|2020-03-13
20200313|AAVVF|Advantage Oil & Gas Ltd Ordina|S|OTC|2977180|4299239||50142|59.37||-30.75|-1322059|2020-03-13
20200313|AAWW|Atlas Air Worldwide Holdings N|R|NNM|2978906|1955390||939321|3.17||52.34|1023516|2020-03-13
20200313|AAXJ|iShares MSCI All Country Asia|R|NNM|2020035|156573||2485182|1.00||1190.16|1863462|2020-03-13
20200313|AAXN|Axon Enterprise, Inc. Common S|R|NNM|5363461|5802915||890124|6.03||-7.57|-439454|2020-03-13
20200313|AB|AllianceBernstein Holding, L.P|A|NYSE|781103|673889||868517|1.00||15.91|107214|2020-03-13
20200313|ABAHF|Abacus Health Products Inc Com|S|OTC|100|201||24481|1.00||-50.25|-101|2020-03-13
20200313|ABAKF|ABERDEEN ASIA-PACIFIC INCOME O|S|OTC|4500|0||0|999.99||100.00|4500|2020-03-13
20200313|ABB|ABB Ltd.|A|NYSE|2081880|2025752||2782566|1.00||2.77|56128|2020-03-13
20200313|ABBRF|Abraplata Resource Corp Ordina|S|OTC|17461|10004||463377|1.00||74.54|7457|2020-03-13
20200313|ABBV|ABBVIE INC.|A|NYSE|81623824|77763823||12286877|6.64||4.96|3860001|2020-03-13
20200313|ABC|AmerisourceBergen Corp.|A|NYSE|4574535|4852621||2663592|1.72||-5.73|-278086|2020-03-13
20200313|ABCB|Ameris Bancorp Common Stock|R|NNM|2132341|1984482||595042|3.58||7.45|147859|2020-03-13
20200313|ABCE|ABCO Energy, Inc Common Stock|S|OTC|67878|0||38444724|1.00||100.00|67878|2020-03-13
20200313|ABCFF|Abacus Mining & Exploration Co|S|OTC|3287|4957||138373|1.00||-33.69|-1670|2020-03-13
20200313|ABCP|AmBase Corporation Common Stoc|S|OTC|11000|11000||9865|1.12||0.00|0|2020-03-13
