#BOF|2026.09.21|20:04:49
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|FIGI|
AA|USD|ALCOA CORP|251962528|XXXXXXX21065|3.4719|0.4081|3000000|BBG00B3T3HD3|
AAL|USD|AMERICAN AIRLINES GROUP INC|139673266|XXXXXXXR1023|3.4696|0.4104|>10000000|BBG005P7Q881|
AAOI|USD|APPLIED OPTOELECTRONICS INC|135423662|XXXXXXXU1025|3.4934|0.3866|3600000|BBG000D6VW15|
AAPL|USD|APPLE INC|265598|XXXXXXX31005|3.4719|0.4081|>10000000|BBG000B9XRY4|
ABAT|USD|AMERICAN BATTERY TECHNOLOGY|653032827|XXXXXXXV3096|3.3538|0.5262|200000|BBG004M1KJN5|
ABBV|USD|ABBVIE INC|118089500|XXXXXXXY1091|3.6257|0.2543|>10000000|BBG0025Y4RY4|
ABCL|USD|ABCELLERA BIOLOGICS INC|459919952|CA00288U1066|2.6865|1.1935|4500000|BBG00LLW2MF2|
ABEV|USD|AMBEV SA-ADR|137736417|XXXXXXXV1035|2.2487|1.6314|6900000|BBG000BN5VZ4|
ABNB|USD|AIRBNB INC-CLASS A|459530964|XXXXXXX61010|3.6300|0.2500|>10000000|BBG001Y2XS07|
ABSI|USD|ABSCI CORP|504239576|XXXXXXXE1091|3.4582|0.4218|2200000|BBG011N54CJ8|
ABT|USD|ABBOTT LABORATORIES .|4065|XXXXXXX41000|3.4719|0.4081|>10000000|BBG000B9ZXB4|
ABUS|USD|ARBUTUS BIOPHARMA CORP|202009938|CA03879J1003|3.5453|0.3347|7600000|BBG000RR8V85|
ACHC|USD|ACADIA HEALTHCARE CO INC|96983623|XXXXXXXA1097|3.4665|0.4135|900000|BBG000FPNN38|
ACHR|USD|ARCHER AVIATION INC-A|514640214|XXXXXXXR1023|3.4751|0.4049|850000|BBG00XRTC910|
ACI|USD|ALBERTSONS COS INC - CLASS A|429435235|XXXXXXX11037|3.4666|0.4134|1200000|BBG009KG1750|
ACN|USD|ACCENTURE PLC-CL A|67889930|IE00B4BNMY34|3.4719|0.4081|6000000|BBG000D9D830|
ADBE|USD|ADOBE INC|265768|XXXXXXXF1012|3.6300|0.2500|9200000|BBG000BB5006|
ADI|USD|ANALOG DEVICES INC|4157|XXXXXXX41051|3.6300|0.2500|6600000|BBG000BB6G37|
ADMA|USD|ADMA BIOLOGICS INC|136375641|XXXXXXX91046|3.4681|0.4119|7300000|BBG002NCK5M5|
ADT|USD|ADT INC|302902498|XXXXXXXQ1031|3.4499|0.4301|>10000000|BBG000BP9WJ1|
AEG|USD|AEGON LTD-NY REG SHR|656769411|XXXXXXXA1045|2.7899|1.0901|8000000|BBG000CKQSN6|
AEHL|USD|ANTELOPE ENTERPRISE HOLDINGS|908997208|VGG041JN1552|-484.3857|488.2657|15000|BBG000TXJ4H8|
AEMD|USD|AETHLON MEDICAL INC|907386717|XXXXXXXY7031|-795.7325|799.6125|25000|BBG000L78XT8|
AEO|USD|AMERICAN EAGLE OUTFITTERS|4725951|XXXXXXXE1064|3.5368|0.3432|6800000|BBG000BGXZB5|
