symbol,market_cap,price,shares_outstanding,sector,industry,as_of
AA,12398465726.0,46.26,268016985,Industrials,Aluminum,2026-09-16
AAL,8565891166.0,12.7,674479619,Consumer Discretionary,Air Freight/Delivery Services,2026-09-16
AAOI,8325910699.0,96.74,86064820,Technology,Semiconductors,2026-09-16
AAPL,4918238660000.0,332.41,14795700069,Technology,Computer Manufacturing,2026-09-16
ABAT,319374178.0,2.12,150648197,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),2026-09-16
ABBV,466554305586.0,262.51,1777282030,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
ABCL,4123317384.0,11.67,353326254,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
ABEV,47127299880.0,2.99,15761638756,Consumer Staples,Beverages (Production/Distribution),2026-09-16
ABNB,99356508214.0,167.51,593137772,Consumer Discretionary,Diversified Commercial Services,2026-09-16
ABSI,1590861873.0,8.04,197868392,Health Care,Biotechnology: Commercial Physical & Biological Resarch,2026-09-16
ABT,176931692016.0,102.36,1728523759,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
ABUS,1003088523.0,5.05,198631391,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
ACHC,2682218923.0,28.16,95249252,Health Care,Medical Specialities,2026-09-16
ACHR,4206630820.0,5.22,805867973,Industrials,Aerospace,2026-09-16
ACI,6098117207.0,12.56,485518886,Consumer Staples,Food Chains,2026-09-16
ACN,127033868065.0,189.64,669868530,Consumer Discretionary,Business Services,2026-09-16
ADBE,100436325000.0,250.5,400943413,Technology,Computer Software: Prepackaged Software,2026-09-16
ADI,175727665882.0,362.04,485381908,Technology,Semiconductors,2026-09-16
ADMA,2004662886.0,8.9,225243021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2026-09-16
ADT,5106609144.0,7.03,726402439,Consumer Discretionary,Diversified Commercial Services,2026-09-16
AEG,17380994394.0,9.02,1926939512,Finance,Life Insurance,2026-09-16
AEHL,233078080.0,9.22,25279618,Consumer Discretionary,Telecommunications Equipment,2026-09-16
AEMD,10875764.0,1.43,7605429,Health Care,Medical/Dental Instruments,2026-09-16
AEO,2497680528.0,14.81,168648246,Consumer Discretionary,Clothing/Shoe/Accessory Stores,2026-09-16
AEON,12156436.0,0.257,47301307,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
AEP,66209605950.0,120.69,548592310,Utilities,Electric Utilities: Central,2026-09-16
AES,10601698042.0,14.81,715847268,Industrials,Electric Utilities: Central,2026-09-16
AESI,1675671261.0,13.57,123483512,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),2026-09-16
AFRM,23713965872.0,71.58,331293181,Finance,Finance: Consumer Services,2026-09-16
AG,9604280873.0,18.33,523965132,Basic Materials,Precious Metals,2026-09-16
AGI,15017963097.0,34.45,435935068,Basic Materials,Precious Metals,2026-09-16
AGNC,11748121140.0,9.88,1189081087,Real Estate,Real Estate Investment Trusts,2026-09-16
AGRZ,4848535.0,0.2301,21071425,Consumer Staples,Farming/Seeds/Milling,2026-09-16
AHR,12389129676.0,53.14,233141319,Real Estate,Real Estate Investment Trusts,2026-09-16
AI,1734814646.0,10.56,164281690,Technology,Computer Software: Prepackaged Software,2026-09-16
AIM,7534793.0,0.212,35541476,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2026-09-16
AIXC,21953239.0,0.9602,22863194,Finance,Finance: Consumer Services,2026-09-16
AIXI,275520.0,2.075,132781,Technology,Computer Software: Prepackaged Software,2026-09-16
AKAM,15389174492.0,104.48,147293018,Consumer Discretionary,Business Services,2026-09-16
AKBA,248148642.0,0.9178,270373330,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
ALHC,1804685796.0,8.71,207196992,Health Care,Medical Specialities,2026-09-16
ALLO,597699224.0,1.69,353668180,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2026-09-16
ALM,4076232998.0,13.47,302615664,Basic Materials,Other Metals and Minerals,2026-09-16
ALT,630237351.0,3.24,194517701,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
AMAT,331247572708.0,415.38,797456721,Technology,Semiconductors,2026-09-16
AMC,2414495546.0,2.66,907705092,Consumer Discretionary,Movies/Entertainment,2026-09-16
AMCR,19596522071.0,41.97,466917371,Consumer Discretionary,Miscellaneous manufacturing industries,2026-09-16
AMD,889845820644.0,512.5,1736284528,Technology,Semiconductors,2026-09-16
AMIX,8388535.0,4.12,2036052,Health Care,Medical/Dental Instruments,2026-09-16
AMKR,11913296032.0,46.28,257417805,Technology,Semiconductors,2026-09-16
AMLX,4258054125.0,32.63,130495070,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
AMPX,1392878693.0,9.1,153063593,Miscellaneous,Industrial Machinery/Components,2026-09-16
AMZN,2709414106151.0,245.96,11015669646,Consumer Discretionary,Catalog/Specialty Distribution,2026-09-16
ANET,251658460139.0,197.54,1273962034,Telecommunications,Computer Communications Equipment,2026-09-16
ANNX,790544989.0,3.93,201156486,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
APA,15926979645.0,44.79,355592312,Energy,Oil & Gas Production,2026-09-16
APH,193257827050.0,77.26,2501395639,Technology,Electrical Products,2026-09-16
APLD,7688955175.0,24.39,315250315,Technology,EDP Services,2026-09-16
APLE,3679348848.0,15.43,238454235,Real Estate,Real Estate Investment Trusts,2026-09-16
APO,74414343466.0,124.53,597561579,Finance,Investment Managers,2026-09-16
APP,107623761600.0,326.56,329568109,Technology,"Computer Software: Programming, Data Processing",2026-09-16
APTV,9059042232.0,43.34,209022663,Consumer Discretionary,Auto Parts:O.E.M.,2026-09-16
AQST,584884280.0,4.82,121345286,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
ARCC,14109148904.0,19.37,728402112,Finance,Finance: Consumer Services,2026-09-16
ARDX,842253993.0,3.39,248452505,Health Care,Biotechnology: Pharmaceutical Preparations,2026-09-16
ARRY,652992614.0,4.2,155474432,Technology,Semiconductors,2026-09-16
AS,14638768909.0,27.13,539578655,Consumer Discretionary,Apparel,2026-09-16
ASAN,2308018779.0,9.65,239172930,Technology,Computer Software: Prepackaged Software,2026-09-16
ASM,1067540378.0,5.97,178817484,Basic Materials,Metal Mining,2026-09-16
ASPI,497488938.0,3.15,157932996,Industrials,Major Chemicals,2026-09-16
ASST,2637465480.0,27.41,96222746,Finance,Finance: Consumer Services,2026-09-16
ASTS,24404693549.0,59.27,411754573,Consumer Discretionary,Telecommunications Equipment,2026-09-16
ASX,89053682652.0,37.95,2346605603,Technology,Semiconductors,2026-09-16
AUR,13006967689.0,6.36,2045120706,Technology,EDP Services,2026-09-16
