symbol,name,market,exchange
AA,Alcoa Corporation,NYSE,XNYS
AAL,American Airlines Group Inc. C,NNM,XNAS
AAOI,"Applied Optoelectronics, Inc.",NNM,XNAS
AAPL,Apple Inc. Common Stock,NNM,XNAS
ABAT,American Battery Technology Co,SC,XNAS
ABBV,ABBVIE INC.,NYSE,XNYS
ABCL,AbCellera Biologics Inc. Commo,NNM,XNAS
ABEV,AMBEV S.A.,NYSE,XNYS
ABNB,"Airbnb, Inc. Class A Common St",NNM,XNAS
ABSI,Absci Corporation Common Stock,NNM,XNAS
ABT,Abbott Laboratories,NYSE,XNYS
ABUS,Arbutus Biopharma Corporation,NNM,XNAS
ACHC,"Acadia Healthcare Company, Inc",NNM,XNAS
ACHR,Archer Aviation Inc.,NYSE,XNYS
ACI,"Albertsons Companies, Inc.",NYSE,XNYS
ACN,Accenture PLC,NYSE,XNYS
ADBE,Adobe Inc. Common Stock,NNM,XNAS
ADI,"Analog Devices, Inc. Common St",NNM,XNAS
ADMA,ADMA Biologics Inc Common Stoc,NNM,XNAS
ADT,ADT Inc.,NYSE,XNYS
AEG,Aegon Ltd.,NYSE,XNYS
AEHL,Antelope Enterprise Holdings L,SC,XNAS
AEMD,"Aethlon Medical, Inc. Common S",SC,XNAS
AEO,American Eagle Outfitters,NYSE,XNYS
AEON,"AEON Biopharma, Inc.",AMEX,XNYS
AEP,American Electric Power Compan,NNM,XNAS
AES,AES Corporation,NYSE,XNYS
AESI,Atlas Energy Solutions Inc.,NYSE,XNYS
AFRM,"Affirm Holdings, Inc. Class A",NNM,XNAS
AG,FIRST MAJESTIC SILVER CORP,NYSE,XNYS
AGI,Alamos Gold Inc. Class A Commo,NYSE,XNYS
AGNC,AGNC Investment Corp. Common S,NNM,XNAS
AGRZ,Agroz Inc. Class A Ordinary Sh,SC,XNAS
AHR,"American Healthcare REIT, Inc.",NYSE,XNYS
AI,"C3.ai, Inc.",NYSE,XNYS
AIM,AIM ImmunoTech Inc.,AMEX,XNYS
AIXC,"AIxCrypto Holdings, Inc. Commo",SC,XNAS
AIXI,XIAO-I Corporation American De,NNM,XNAS
AKAM,"Akamai Technologies, Inc. Comm",NNM,XNAS
AKBA,"Akebia Therapeutics, Inc. Comm",SC,XNAS
ALHC,"Alignment Healthcare, Inc. Com",NNM,XNAS
ALLO,"Allogene Therapeutics, Inc. Co",NNM,XNAS
ALM,Almonty Industries Inc. Common,SC,XNAS
ALT,"Altimmune, Inc. Common Stock",NNM,XNAS
AMAT,"Applied Materials, Inc. Common",NNM,XNAS
AMC,"AMC ENTERTAINMENT HOLDINGS, IN",NYSE,XNYS
AMCR,Amcor plc Ordinary Shares,NYSE,XNYS
AMD,"Advanced Micro Devices, Inc. C",NNM,XNAS
AMIX,"Autonomix Medical, Inc. Common",SC,XNAS
