symbol,fee,fee_floor_binds,sir,days_to_cover,on_threshold,utilisation,p_locate,recall_hazard,score,cap
HRTX,1.0,False,0.23788236101937046,18.54,False,1.3215686723298359,0.17137253106806563,0.008764,4.291836455352595,small
GLUE,0.7392447853597567,False,0.21271588134436806,16.56,False,1.1817548963576003,0.22729804145695987,0.00852064995636491,4.115439275269738,small
RR,0.5464828526815781,False,0.19338806541298156,6.35,True,1.074378141183231,0.13512437176335382,0.021492044956239218,3.9692933068877587,small
IPSC,0.40398459913338075,False,0.16134061363111973,70.64,False,0.8963367423951097,0.44512856064684636,0.0051991495122978735,3.923897058811413,small
OCGN,0.2992182944121155,False,0.2810097412053116,28.24,False,1.5,0.09999999999999998,0.008764,3.9191550664521877,small
CMPX,0.25144752559298916,False,0.22404573900299485,17.26,False,1.244698550016638,0.20212057999334476,0.008764,3.8458634734684845,small
BZAI,0.21130345071667148,False,0.14838599127860722,3.46,False,0.8243666182144845,0.5458867344997217,0.00450564979886776,3.766710979887483,small
NTLA,0.2,True,0.2937989598591815,12.89,False,1.5,0.09999999999999998,0.008764,2.565944518186099,small
AIXI,0.2,True,0.3187009329002534,1.0,False,1.5,0.09999999999999998,0.008764,1.8212066619702152,small
HTZ,0.2,True,0.3245970388359779,5.73,False,1.5,0.09999999999999998,0.008764,2.5611055212454215,small
CAPR,0.2,True,0.34672171903069293,1.99,False,1.5,0.09999999999999998,0.008764,1.8472122108198585,small
QUBT,0.2,True,0.2710217373965549,8.85,False,1.5,0.09999999999999998,0.008764,2.286310971680806,small
BBAI,0.2,True,0.2910326042423742,8.05,False,1.5,0.09999999999999998,0.008764,2.465082942196577,small
NVAX,0.2,True,0.2765343876544469,8.61,False,1.5,0.09999999999999998,0.008764,2.2724646817186627,small
ONDS,0.2,True,0.3861913889442148,3.68,False,1.5,0.09999999999999998,0.008764,2.6619896645010943,mid
XRX,0.2,True,0.2966653823316642,19.55,False,1.5,0.09999999999999998,0.008764,3.5060807872747746,small
EOSE,0.2,True,0.30223631348328245,4.95,False,1.5,0.09999999999999998,0.008764,1.9459349228198395,small
SERV,0.2,True,0.35271164796919724,6.74,False,1.5,0.09999999999999998,0.008764,3.322789237623439,small
BTCT,0.2,True,0.36937451052955306,1.0,True,1.5,0.05,0.026291999999999996,3.4050189296713134,small
RXRX,0.2,True,0.301552259470399,10.6,False,1.5,0.09999999999999998,0.008764,2.6078846438636734,small
CCCC,0.2,True,0.3072274904332347,16.74,False,1.5,0.09999999999999998,0.008764,3.461496202177817,small
AI,0.2,True,0.28426572066552275,10.02,False,1.5,0.09999999999999998,0.008764,2.3048416973768795,small
WOLF,0.2,True,0.464538203773594,5.92,False,1.5,0.09999999999999998,0.008764,2.370559067838251,small
PCT,0.19347993422848855,True,0.2681752663317484,16.9,False,1.4898625907319354,0.10405496370722583,0.008764,3.218185128378208,small
KSS,0.18879209718180204,True,0.2668248984511069,5.51,False,1.4823605469505938,0.10705578121976245,0.008764,1.6865538724079787,small
IKT,0.1775684536146297,False,0.14028139897772035,47.39,False,0.7793411054317797,0.6089224523955085,0.004101286328247519,3.7380096728754095,small
INDI,0.174400145359258,True,0.26245932852916887,8.83,False,1.4581073807176048,0.11675704771295806,0.008764,2.6540644870893604,small
ALT,0.1539139886251235,True,0.25557968629291994,11.84,False,1.4198871460717775,0.132045141571289,0.008764,2.901278225400823,small
TRIP,0.1513487178165152,True,0.2546543490593367,10.17,False,1.4147463836629817,0.13410144653480732,0.008764,2.5050189926796067,small
LXEO,0.14957029918413867,False,0.2484873977550023,26.82,False,1.3804855430833463,0.14780578276666148,0.008764,3.7186565783015104,small
XPON,0.1469806106663961,True,0.25304200130798293,1.0,False,1.4057888961554608,0.13768444153781567,0.008764,1.2025521453737427,small
WEN,0.14682776020029198,True,0.2529847173540389,6.02,False,1.4054706519668827,0.1378117392132469,0.008764,1.9641532418621601,small
CSIQ,0.14397137455412606,True,0.251903113950487,8.67,False,1.399461744169372,0.14021530233225118,0.008764,2.3769429179816837,small
REPL,0.14258767075096732,True,0.2513714187576593,8.86,False,1.3965078819869963,0.14139684720520146,0.008764,3.472209368854892,small
FMC,0.13834519163937037,True,0.24970846362809077,11.53,False,1.3872692423782822,0.1450923030486871,0.008764,2.4379690397002083,small
SOC,0.13711932684126235,True,0.24921844778770477,4.25,False,1.3845469321539154,0.1461812271384338,0.008764,1.9048663708172244,small
LCTX,0.12353373815106011,False,0.11847458000556667,33.08,False,0.6581921111420371,0.7785310444011481,0.003126014388949826,3.492340435043472,small
ENVX,0.12230707327547564,True,0.24292469164978736,4.81,False,1.3495816202765964,0.1601673518893614,0.008764,2.7218041813832254,small
