,mean_fee,p90_fee,share_special,share_floor,on_threshold,mean_sir,mean_util,n
2019-06,0.01148,0.01014,0.03119,0.00039,27.0,0.03263,0.28483,515.0
2019-07,0.0118,0.01018,0.03278,0.00414,29.0,0.03291,0.1497,518.0
2019-08,0.01168,0.01004,0.03084,0.00446,20.0,0.03318,0.1508,521.0
2019-09,0.01167,0.01009,0.03067,0.0045,27.0,0.03374,0.15221,523.0
2019-10,0.01166,0.01018,0.03091,0.00497,46.0,0.03373,0.15204,526.0
2019-11,0.01156,0.01028,0.03038,0.00322,36.0,0.03358,0.15179,529.0
2019-12,0.01185,0.01032,0.0321,0.00629,38.0,0.03345,0.15054,530.0
2020-01,0.01176,0.01007,0.03242,0.00376,44.0,0.03308,0.14991,532.0
2020-02,0.01176,0.01017,0.03152,0.00483,25.0,0.03255,0.14893,536.0
2020-03,0.01182,0.01024,0.03231,0.00516,53.0,0.03207,0.1463,538.0
2020-04,0.01199,0.01028,0.0353,0.00619,61.0,0.03198,0.14574,539.0
2020-05,0.01183,0.01003,0.03407,0.00565,90.0,0.03184,0.14429,540.0
2020-06,0.01185,0.01035,0.03306,0.00611,91.0,0.03232,0.14614,547.0
2020-07,0.01172,0.01024,0.03239,0.00545,37.0,0.03199,0.146,554.0
2020-08,0.01163,0.0102,0.03161,0.00436,66.0,0.03105,0.14408,560.0
2020-09,0.01167,0.0102,0.03193,0.00355,65.0,0.03069,0.14326,570.0
2020-10,0.01167,0.01016,0.03304,0.00444,41.0,0.0311,0.14586,575.0
2020-11,0.01164,0.01013,0.03275,0.00491,68.0,0.03061,0.14399,584.0
2020-12,0.0116,0.01012,0.03163,0.00335,94.0,0.02954,0.14307,602.0
2021-01,0.01148,0.01017,0.03127,0.00199,45.0,0.02887,0.14011,610.0
2021-02,0.01132,0.01012,0.031,0.0012,14.0,0.02644,0.13074,614.0
2021-03,0.01125,0.01018,0.03072,0.0,37.0,0.02527,0.12593,624.0
2021-04,0.01123,0.01018,0.03014,0.0,49.0,0.02668,0.1344,638.0
2021-05,0.01122,0.01015,0.03126,0.0,76.0,0.02679,0.13419,641.0
2021-06,0.01121,0.01011,0.03101,0.0,106.0,0.02725,0.13541,651.0
2021-07,0.0112,0.01014,0.03051,0.0,85.0,0.02692,0.13393,660.0
2021-08,0.01119,0.01003,0.03027,0.0,64.0,0.02611,0.1282,661.0
2021-09,0.01119,0.01013,0.03017,0.0,67.0,0.02596,0.12517,665.0
2021-10,0.01119,0.01019,0.02996,0.00014,93.0,0.02638,0.12652,670.0
2021-11,0.01118,0.01017,0.0307,0.00064,98.0,0.02659,0.12733,677.0
2021-12,0.01117,0.01005,0.03086,0.0,90.0,0.02565,0.12328,682.0
2022-01,0.01116,0.01011,0.03068,0.0,24.0,0.02634,0.12472,688.0
2022-02,0.01116,0.01022,0.03048,0.0,10.0,0.02682,0.12609,690.0
2022-03,0.01116,0.01003,0.03039,0.0,16.0,0.02845,0.13209,691.0
2022-04,0.01115,0.01011,0.03028,0.0,10.0,0.02849,0.13271,696.0
2022-05,0.01116,0.01019,0.03032,0.00109,15.0,0.02906,0.13454,698.0
2022-06,0.01118,0.01021,0.03095,0.00239,18.0,0.03029,0.13877,700.0
2022-07,0.01115,0.01005,0.02996,0.00043,60.0,0.03106,0.14181,702.0
2022-08,0.01115,0.0101,0.03012,0.00186,40.0,0.03055,0.13972,705.0
2022-09,0.01115,0.01013,0.03117,0.00088,55.0,0.02947,0.13508,707.0
2022-10,0.01114,0.01018,0.03109,0.0,45.0,0.03037,0.13814,709.0
2022-11,0.01114,0.01019,0.031,0.00013,22.0,0.03051,0.13865,710.0
2022-12,0.01113,0.01005,0.03092,0.0,26.0,0.02977,0.13528,712.0
2023-01,0.01113,0.0101,0.03081,0.0,78.0,0.02992,0.13593,714.0
2023-02,0.01113,0.01013,0.03077,0.00022,118.0,0.02937,0.13368,715.0
2023-03,0.01114,0.01018,0.03071,0.00061,47.0,0.02965,0.13466,717.0
2023-04,0.01114,0.01018,0.03068,0.00213,76.0,0.03066,0.1386,717.0
2023-05,0.01114,0.01021,0.03063,0.00203,52.0,0.03065,0.13886,719.0
2023-06,0.01118,0.01023,0.03144,0.00371,41.0,0.03152,0.14255,720.0
2023-07,0.01123,0.01028,0.03171,0.00333,43.0,0.03199,0.14479,722.0
2023-08,0.01119,0.01057,0.03047,0.00367,28.0,0.03123,0.14189,722.0
2023-09,0.01129,0.01031,0.03212,0.00498,27.0,0.03202,0.14531,723.0
2023-10,0.01132,0.01013,0.03305,0.00345,110.0,0.034,0.15379,725.0
2023-11,0.0113,0.01015,0.03317,0.00315,56.0,0.03476,0.15672,727.0
2023-12,0.01141,0.01018,0.03439,0.00413,47.0,0.03498,0.15709,727.0
2024-01,0.01144,0.01018,0.0335,0.00419,49.0,0.03488,0.15681,730.0
2024-02,0.01146,0.01008,0.03359,0.0041,93.0,0.03455,0.15641,733.0
2024-03,0.0114,0.01036,0.03211,0.00456,48.0,0.03492,0.15739,737.0
2024-04,0.01131,0.0102,0.03102,0.00375,61.0,0.03644,0.1639,741.0
2024-05,0.01144,0.0103,0.03253,0.00631,75.0,0.0378,0.17005,742.0
2024-06,0.01155,0.01082,0.03363,0.00729,104.0,0.03866,0.1738,744.0
2024-07,0.01134,0.01063,0.03167,0.00702,80.0,0.0397,0.17719,745.0
2024-08,0.01131,0.01063,0.03114,0.00841,113.0,0.0397,0.1778,748.0
2024-09,0.0114,0.01071,0.03155,0.00969,97.0,0.04054,0.18161,748.0
2024-10,0.01142,0.01045,0.03193,0.00726,86.0,0.04138,0.18534,751.0
2024-11,0.01145,0.0103,0.03281,0.00725,125.0,0.04092,0.18383,753.0
2024-12,0.01133,0.01035,0.03114,0.00575,129.0,0.04109,0.18409,754.0
2025-01,0.01135,0.01037,0.03205,0.00828,130.0,0.0429,0.19168,756.0
2025-02,0.0114,0.0102,0.03197,0.0089,66.0,0.04399,0.19676,759.0
2025-03,0.01138,0.01062,0.03342,0.01129,88.0,0.04629,0.20634,762.0
2025-04,0.01149,0.01106,0.03337,0.01487,61.0,0.04828,0.21517,762.0
2025-05,0.01168,0.01163,0.03427,0.0221,123.0,0.04984,0.22137,764.0
2025-06,0.01167,0.01174,0.03394,0.02319,149.0,0.05097,0.22673,770.0
2025-07,0.01173,0.01212,0.03358,0.03022,174.0,0.05305,0.23551,774.0
2025-08,0.01196,0.01247,0.03521,0.03294,124.0,0.05319,0.23734,776.0
2025-09,0.01231,0.01233,0.04354,0.0326,178.0,0.05507,0.24618,783.0
2025-10,0.01246,0.01278,0.04326,0.03572,215.0,0.05685,0.25512,785.0
2025-11,0.01249,0.01278,0.04264,0.03614,73.0,0.05683,0.25565,785.0
2025-12,0.01289,0.01406,0.04543,0.04457,141.0,0.05998,0.26988,787.0
2026-01,0.01272,0.01376,0.0446,0.03971,123.0,0.06156,0.27718,787.0
2026-02,0.01313,0.01464,0.04528,0.04988,46.0,0.06385,0.28791,790.0
2026-03,0.01387,0.01654,0.04914,0.05511,74.0,0.06661,0.30025,793.0
2026-04,0.01395,0.01645,0.05025,0.06045,108.0,0.06945,0.31321,794.0
2026-05,0.01486,0.0186,0.05703,0.0764,50.0,0.07222,0.32572,796.0
2026-06,0.01528,0.01893,0.05989,0.08386,174.0,0.07574,0.33897,798.0
2026-07,0.01681,0.02598,0.07238,0.10265,263.0,0.08078,0.36396,801.0
2026-08,0.01793,0.02971,0.07738,0.11857,220.0,0.08239,0.37365,800.0
