date,symbol,event,p_locate,notional,hazard
2019-06-28,DDD,locate_failed,0.6412154802442716,,
2019-07-31,FCEL,locate_failed,0.5,,
2019-07-31,TDAY,locate_failed,0.8129536139101662,,
2019-08-22,GT,recall,,13568298.974411804,0.0008977217823043113
2019-08-23,RRC,recall,,10406070.373604063,0.007542654653315957
2019-08-23,GT,reentry,,12960421.131665487,
2019-08-27,RRC,reentry,,9382069.081817122,
2019-08-30,NVAX,locate_failed,0.5,,
2019-10-14,DDD,recall,,14565481.520796718,0.004370877554871628
2019-10-16,DDD,reentry,,14894852.26278304,
2019-10-31,TDAY,locate_failed,0.584667472672908,,
2019-11-11,APA,recall,,18486658.181053218,0.0009627628756518096
2019-11-12,APA,reentry,,18447901.197800834,
2019-12-31,KSS,locate_failed,0.4594340057995815,,
2020-01-02,GAP,recall,,13907928.085786609,0.0015377305870282498
2020-01-03,GAP,reentry,,14036705.06976348,
2020-01-31,KSS,locate_failed,0.3817113785776147,,
2020-02-21,KHC,recall,,13852587.730044918,0.0007112643108348966
2020-02-24,KHC,reentry,,13532443.012773715,
2020-02-28,KSS,locate_failed,0.5193680178366897,,
2020-03-16,CERS,recall,,11166474.111915905,0.0010035098528936223
2020-03-17,CERS,reentry,,11503922.173866807,
2020-03-31,KSS,locate_failed,0.38403038625572283,,
2020-04-30,RRC,locate_failed,0.2173611066281309,,
2020-04-30,CZR,locate_failed,0.144328248134163,,
2020-05-29,CZR,locate_failed,0.17797427348110273,,
2020-06-04,M,recall,,24559763.45706809,0.008764
2020-06-05,M,reentry,,26234973.905026775,
2020-07-10,OXY,recall,,17435859.143488906,0.0008751755685208701
2020-07-13,OXY,reentry,,16861968.673601028,
2020-07-23,MAC,recall,,17391922.9220614,0.005888287631151519
2020-07-27,MAC,reentry,,16774584.251700396,
2020-08-28,TRIP,recall,,26548583.031568795,0.0031695329352753273
2020-09-09,M,recall,,22951434.38362859,0.008764
2020-09-21,M,reentry,,19181926.621025514,
2020-09-28,M,recall,,18117953.1584409,0.008764
2020-09-30,M,locate_failed,0.09999999999999998,,
2020-10-02,MAC,recall,,25023510.493496526,0.007304169099903896
2020-10-05,MAC,reentry,,25226129.82260183,
2020-10-09,CPRI,recall,,27592163.370634284,0.0024164269050869075
2020-10-12,KSS,recall,,26307988.18283058,0.008764
2020-10-12,CPRI,reentry,,27566685.258815706,
2020-10-15,KSS,reentry,,25565523.329798467,
2020-10-30,M,locate_failed,0.09999999999999998,,
2020-10-30,DDD,locate_failed,0.2277697578043123,,
2020-11-04,AAL,recall,,21899417.19032626,0.005613566013131878
2020-11-05,AAL,reentry,,23072955.720324144,
2020-11-13,KSS,recall,,25566391.73356252,0.008605138693860176
2020-11-17,KSS,reentry,,30751331.88578634,
2020-11-30,M,locate_failed,0.09999999999999998,,
2020-12-03,KSS,recall,,27513495.87651547,0.008764
2020-12-10,KIM,recall,,23537370.92632637,0.0007250953842625223
2020-12-11,KIM,reentry,,23426196.242403626,
2020-12-24,KSS,reentry,,27712919.771069087,
2020-12-31,M,locate_failed,0.09999999999999998,,
2021-01-11,AAL,recall,,22355219.284028288,0.005794136418483508
2021-01-13,OXY,recall,,30318732.985061496,0.0007861344405259436
2021-01-14,AAL,reentry,,24501321.131226677,
2021-01-14,OXY,reentry,,32912050.296886414,
2021-02-12,NOV,recall,,26312594.375237636,0.0008772349424895353
2021-02-16,NOV,reentry,,27407381.196125906,
2021-02-26,PAGP,recall,,19719564.523616504,0.0009333635925202286
2021-03-01,PAGP,reentry,,20954896.80109722,
2021-03-04,XRX,recall,,19789217.7358605,0.0009989369514494578
2021-03-05,XRX,reentry,,20191658.189683244,
2021-03-31,IRWD,locate_failed,0.748416503845561,,
2021-05-17,VZ,recall,,17111824.731535144,0.0007061708072994525
2021-05-18,VZ,reentry,,16887369.11568116,
2021-05-28,UWMC,locate_failed,0.5,,
2021-05-28,HRTX,locate_failed,0.8264463574221205,,
2021-06-07,ASTS,recall,,18598560.698375467,0.0021123310295963794
2021-06-08,ASTS,reentry,,28152932.71523658,
2021-06-10,SRPT,recall,,19200063.747851808,0.001132563313960194
2021-06-11,SRPT,reentry,,19034068.9604064,
2021-10-28,MVST,recall,,17554447.257370286,0.000946467230747892
2021-11-05,VNET,recall,,19705755.67507564,0.0007462794496977093
2021-11-08,VNET,reentry,,20445480.166720863,
2021-12-07,INO,recall,,18474621.892609768,0.0009139333574360908
2021-12-08,INO,reentry,,18785832.906778853,
2021-12-31,GENI,locate_failed,0.5,,
2022-01-12,HRTX,recall,,19574313.789337505,0.0063077516821870286
2022-01-14,HRTX,reentry,,20034885.439262617,
2022-02-01,AI,recall,,22864246.27689825,0.0020177235891268644
2022-02-02,AI,reentry,,21369737.424740493,
2022-02-23,IONS,recall,,21862511.04568499,0.0009704411055106743
2022-02-24,IONS,reentry,,23114644.684375163,
