date,nav_open,pnl_long,pnl_short,shadow_pnl_short,fees,rebate,financing,impact,recall_impact,n_recalls,n_reentries,n_reentry_failed,n_missing,n_short,n_long,short_notional,long_notional,fee_wavg,cash,margin_regt_initial,margin_regt_maint,margin_pm,nav,excess_equity_regt,excess_equity_pm
2019-06-28,500000000.0,0.0,0.0,0.0,17633.48339864182,33333.333333333314,-81.97603060708676,999999.999999999,0.0,0,0,0,1,33,34,499999999.99999964,499999999.9999997,0.012696108047022116,-1017633.4833983183,499999999.99999964,274999999.9999998,149999999.99999988,499015617.8739041,224015617.8739043,349015617.8739042
2019-07-01,499015617.8739041,5141455.177190513,-1809039.892904229,-1739672.1577499215,18190.077450891597,33314.54427674185,-219.33661627501013,0.0,0.0,0,0,0,1,33,34,501809035.1308396,505062063.90631056,0.013049641245725212,-2732220.82557106,503435549.5185751,276808226.5158295,151030664.85557252,502362938.2884,225554711.7725705,351332273.4328275
2019-07-02,502362938.2884,3031786.054616685,8737456.176148012,8755197.55746943,19146.024307779044,32871.43940644834,389.74542250935286,0.0,0.0,0,0,0,1,33,34,493071591.09672517,508012671.3599279,0.013978839736983242,6100363.134929001,500542131.22832656,274924645.16899955,150162639.36849797,514146295.67968583,239221650.51068628,363983656.31118786
2019-07-03,514146295.67968583,5811313.981857651,-3159300.5165286334,-3227983.6255734228,16586.18496618225,33219.90105124451,194.78401278365376,0.0,0.0,0,0,0,1,33,34,496230887.07253206,513746127.95562804,0.01203275882936495,3035595.0044205785,504988507.51408005,277305798.11066663,151496552.254224,516815137.64511263,239509339.534446,365318585.39088863
2019-07-05,516815137.64511263,993384.8326394928,348612.4825917609,499962.8867523392,17521.282391012184,33334.30931670152,219.11692264120964,0.0,0.0,0,0,0,1,33,34,495882287.3558904,514739523.49903756,0.01272007857832081,3400090.178915322,505310905.427464,277449567.0815265,151593271.62823918,518173167.10419226,240723600.02266574,366579895.4759531
2019-07-08,518173167.10419226,-1925713.5519108374,6184550.190124687,5970331.837326932,16540.131736531086,32782.54335916948,616.1071354112428,0.0,0.0,0,0,0,1,33,34,489697743.1245234,512813793.967897,0.01215943407694459,9601669.642772615,501255768.54621017,275112771.42933124,150376730.56386304,522448862.2611642,247336090.83183295,372072131.69730115
2019-07-09,522448862.2611642,3366011.1638469486,-4881419.781844289,-5012573.998292285,16563.299048888413,33109.32611712913,303.9623607822994,0.0,0.0,0,0,0,1,33,34,494579145.31811154,516179814.5916665,0.012056286064719908,4737075.75245142,505379479.95488906,277418697.2433501,151613843.9864667,520950303.63259584,243531606.38924575,369336459.64612913
2019-07-10,520950303.63259584,1090610.6632745839,-5302244.475430921,-5097815.611231739,15554.7976353409,33464.282177335605,-44.240395049432415,0.0,0.0,0,0,0,1,33,34,499881393.5203659,517270418.87908584,0.011202111583484222,-547303.8562816381,508575906.19972587,279282022.77588123,152572771.85991776,516756535.06458646,237474512.28870523,364183763.2046687
2019-07-11,516756535.06458646,-2658789.3461328885,6504307.40827516,6361484.746482985,15971.546060852066,32891.805754418725,381.7009711879682,0.0,0.0,0,0,0,1,33,34,493377086.31628084,514611631.5968562,0.011653878425600096,5974449.9838116765,503994358.9565685,276666033.7940983,151198307.68697053,520619355.08739346,243953321.29329515,369421047.40042293
2019-07-12,520619355.08739346,466744.97565036674,-5403031.8568900665,-4807790.056242493,16377.502881167298,32970.605060931164,37.25951271592438,0.0,0.0,0,0,0,1,33,34,498715034.5350932,515078382.607758,0.011822184271457628,588308.0955145955,506896708.57142556,278384106.01246744,152069012.57142767,515699698.56784624,237315592.5553788,363630685.9964186
2019-07-15,515699698.56784624,2037344.6749510616,5832976.001472889,5483653.491829756,16222.006066748514,32858.80355950179,411.3212928528036,0.0,0.0,0,0,0,1,33,34,492882053.3925268,517115724.8283335,0.011848518613800289,6438072.409869969,504998889.1104301,277143547.2248414,151499666.73312902,523587067.3630558,246443520.1382144,372087400.6299268
2019-07-16,523587067.3630558,-2448530.9323229087,7477509.754713346,7306065.035663743,18297.58969370234,32495.137502374862,893.8764166994068,0.0,0.0,0,0,0,1,33,34,485404543.60393983,514667207.03680074,0.013570396850482589,13930541.558951795,500035875.3203703,274288164.8403821,150010762.5961111,528631137.6096716,254342972.7692895,378620375.01356053
2019-07-17,528631137.6096716,-753170.0365725912,4502621.277318782,4224748.206759139,17825.16094105396,32193.712703344376,1183.793647168435,0.0,0.0,0,0,0,1,33,34,480901932.49809027,513914031.5258128,0.013343797363103569,18448732.163663924,497407982.01195157,272749087.6308803,149222394.60358545,532396141.19582725,259647053.56494695,383173746.59224176
2019-07-18,532396141.19582725,3354869.846326483,143879.32058988488,430532.1006823232,17579.998512519946,32184.080359996675,1200.4742867690409,0.0,0.0,0,0,0,1,33,34,480758046.87131965,517168620.1808175,0.01316420911869033,18708690.183413625,498963333.52606857,273519569.1066003,149689000.05782056,535910694.9188779,262391125.81227762,386221694.86105734
