date,n_long,n_short_requested,n_locate_failed,failed,turnover_usd,nav,fee_wavg_short,short_leg_fee_requested
2019-06-28,34,34,1,DDD,999999999.9999989,499000000.0,0.012696108047022108,0.015216312037075014
2019-07-31,35,35,2,"FCEL,TDAY",653313673.084725,519013670.0123114,0.011524447035515544,0.013964911191321044
2019-08-30,34,34,1,NVAX,825064605.221589,598978244.867635,0.024039756485373924,0.023972617716364986
2019-09-30,35,35,0,,764018033.5076313,521196206.7687415,0.032658901280773284,0.032658901280773284
2019-10-31,34,34,1,TDAY,733857831.140085,553307787.0416223,0.01861662767609901,0.020064421865919814
2019-11-29,35,35,0,,782077888.1495225,537219940.3030454,0.015457707981544729,0.015457707981544729
2019-12-31,36,36,1,KSS,701458369.0985576,497344010.73140883,0.01783943601229432,0.017697741664669784
2020-01-31,37,37,1,KSS,591528947.5601909,533591907.59062845,0.02292330197593066,0.02272669956624323
2020-02-28,37,37,1,KSS,823166908.3013406,566826354.0939652,0.009780162333082413,0.010009157358702616
2020-03-31,35,35,1,KSS,1068872770.1377349,674945708.6682884,0.005782602428808684,0.006090398053377943
2020-04-30,36,36,2,"RRC,CZR",1372300880.5756478,632565069.337211,0.01128803239821127,0.01784625411302556
2020-05-29,38,38,1,CZR,890525204.1253039,703056323.9054805,0.013442926859229692,0.01587181217276883
2020-06-30,39,39,0,,1117416716.1036227,743584727.7306659,0.014333523018603973,0.014333523018603973
2020-07-31,39,39,0,,1056876940.8008102,851794732.8280361,0.021850859928850993,0.021850859928850993
2020-08-31,40,40,0,,1112607207.5034962,846418459.2674402,0.022674170971728868,0.022674170971728868
2020-09-30,39,39,1,M,1107157831.239935,870224323.1691517,0.014269248643931826,0.019031575601779736
2020-10-30,39,39,2,"M,DDD",719585808.6869496,829429401.6736797,0.0355083948165091,0.045759859923418085
2020-11-30,40,40,1,M,1428612057.180533,892991475.5700144,0.03259366061790138,0.03677881910245386
2020-12-31,43,43,1,M,1136850675.1042094,985980240.683989,0.031583034857446735,0.035499708465413095
2021-01-29,43,43,0,,1264476349.9787095,1003559558.143433,0.027014761036592956,0.027014761036592956
2021-02-26,44,44,0,,1404325804.0245757,866256513.2351017,0.011783781308282882,0.011783781308282882
2021-03-31,45,45,1,IRWD,1713776440.4930131,778044969.5106257,0.0060905727434106705,0.00806110907431587
2021-04-30,44,44,0,,1090468751.6374285,749880625.05194,0.007050826426985105,0.007050826426985105
2021-05-28,44,44,2,"UWMC,HRTX",959237101.0921258,702261094.6167451,0.015895703188833387,0.017877772139378825
2021-06-30,45,45,0,,992398392.786992,767848112.1111106,0.0400084606574172,0.0400084606574172
2021-07-30,44,44,0,,967011609.8733336,743584132.9307673,0.035465291577951794,0.035465291577951794
2021-08-31,45,45,0,,882673017.4937114,793526531.5788891,0.0316484741054349,0.0316484741054349
2021-09-30,46,46,0,,930506299.1068219,788330841.2651693,0.03753010406582626,0.03753010406582626
2021-10-29,46,46,0,,1009702595.8227973,873659080.7856941,0.029729738075175788,0.029729738075175788
