date,MOM_frictionless,MOM_naive,MOM_risk_only,MOM_borrow_aware,SIR_frictionless,SIR_naive,SIR_risk_only,SIR_borrow_aware,REV_frictionless,REV_naive,REV_risk_only,REV_borrow_aware
2019-06-28,499033252.7777778,499015617.8739041,499015445.6188856,499020437.3155864,499033252.7777778,498953248.1904924,498951726.5482217,499006517.1367061,499033252.7777778,499025069.3839381,499025046.6171526,499025258.6078401
2019-07-01,502468134.8442788,502362938.2884,502393174.55339617,501939161.0977323,499131237.0518701,498914804.07695,498905595.8725225,497354269.1957042,500067199.4971526,500050934.1239351,500098764.2977744,500205350.1450989
2019-07-02,514288382.9114914,514146295.67968583,514191972.9382587,512821876.7263152,503959744.68439084,502651852.1250913,502701594.12257445,500570821.17188495,498418641.5747097,498394249.6473416,498388144.67547446,498479631.6073734
2019-07-03,516905132.4936933,516815137.64511263,516837340.7800758,515380854.2499773,503622240.698796,502233425.1737591,502255401.257212,500570070.21687585,496834596.2994008,496802186.1904578,496847692.804121,496986796.1319376
2019-07-05,518432038.90905595,518173167.10419226,518257550.4228462,516940033.80076766,500555642.62207067,500089678.0076493,500097993.6967149,498944388.00782543,501634813.7886435,501594309.9961083,501679314.35596454,501736146.87443554
2019-07-08,522510062.7466535,522448862.2611642,522680202.5006556,521068905.57555985,501812055.1047434,501800011.57852525,501743659.3022641,500718802.67141825,500728543.10715836,500679923.9675685,500734859.49408525,500707298.8972799
2019-07-09,520896921.5299794,520950303.63259584,521123555.9861574,520279521.1933304,499590633.83294874,498810618.6173977,498811939.9062539,498222581.82500803,496967146.5079511,496910389.475217,496881284.148617,496811144.33996546
2019-07-10,516923148.16055924,516756535.06458646,516966841.3663907,515948426.82605785,507181657.0616901,506212882.14118266,506238940.73424405,504827618.65630937,494530008.30633634,494465307.01339954,494421857.3017232,494287636.2133658
2019-07-11,520659127.2072985,520619355.08739346,520880403.36157274,519227234.8952183,508904872.610055,506955698.50510377,506951061.9123568,505018663.7331955,496767819.40083385,496695078.0691902,496645328.2388509,496487905.33452415
2019-07-12,516351099.55651206,515699698.56784624,515947664.7062702,514450544.1077521,502658097.14107555,500758969.43093336,500746213.37881917,498352177.57762855,496582832.5939588,496502185.5759635,496496249.1758698,496411347.53184706
2019-07-15,523905379.51633006,523587067.3630558,523966550.9519687,522295933.6652112,497651150.9319929,494774511.52545136,494786197.73110354,492575197.1320186,495779456.6696341,495690892.7245701,495719988.9529383,495654682.84750277
2019-07-16,528796316.0051557,528631137.6096716,528997414.5191219,526959674.91409475,496778689.6237239,493229205.25181913,493187623.0150054,492222219.04887974,494613994.48421973,494517484.5269957,494493799.0191241,494442643.6403705
2019-07-17,532301286.96974725,532396141.19582725,532838514.5000027,530399218.98634094,501937245.5723381,497646838.5574502,497665852.7563747,496044689.1379765,485186673.76166415,485082028.22908896,484905429.903197,484816294.967513
2019-07-18,536120089.0922429,535910694.9188779,536378545.96915764,533819257.76403457,504462827.80570877,499446739.57304335,499543118.24243605,497351271.59133995,478587473.1508975,478474678.28496295,478229767.2945375,478090957.29907465
2019-07-19,526550015.9124557,526244539.31102407,526719054.4751999,524182017.64292127,506118258.05561,501646369.72202736,501768359.15036386,499004886.69286066,480940361.440038,480819467.546168,480628050.5830403,480494496.6009213
2019-07-22,526466665.89292794,526114599.84139574,526721603.08745795,524034552.9473934,506606366.9822146,502327457.18964803,502477166.89941496,499189243.12812454,476838103.87351274,476709312.5764095,476503454.07555896,476316290.34640896
